"ASIN","Product.Name","Brand","Price","Monthly.Units.Sold","Daily.Units.Sold","Monthly.Revenue","Date.First.Available","Net.Revenue","Star.Rating","Reviews","Amazon.Fees","BSR","LQS","Seller.Type","Sellers","Category","Product.Tier","Dimensions","Weight","Link"
"B0F1XBDQJC","Non-Slip Grip Slouchy Scrunch Socks Comfortable Yoga Pilates Socks for Women Shoe Sizes 6-12","Raigoo","$8.99","","","","03/18/2025","$4.62",5,"","$5.37","1,228,776",5,"FBA",1,"Clothing, Shoes & Jewelry","Small standard","6 x 0.6 x 6 in","0.992 lb","https://www.amazon.com/dp/B0F1XBDQJC?th=1&psc=1"
"B0DY7DNWPT","Pilates Socks with Grips for Women Grippy Yoga Sock Crew Size 7-9 for Workout Barre Ballet Barefoot 5 Pairs","GIAG.IO","$15.94","","","","03/24/2025","$8.01",5,"2","$7.93","973,872",7,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","6.3 x 0.98 x 9.05 in","0.55 lb","https://www.amazon.com/dp/B0DY7DNWPT?th=1&psc=1"
"B0F2DRC2GD","G Gradual Women's Workout Tank Tops Racerback Athletic Yoga Tops Loose Fit Sleeveless Running Gym Sports Shirts for Women","G Gradual","$14.99","608","20","$9,114","03/25/2025","$7.60",4,"","$7.39","61,638",8,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","5.4 x 1.2 x 7.5 in","0.2 lb","https://www.amazon.com/dp/B0F2DRC2GD?th=1&psc=1"
"B06XP237LY","Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper","","","","","","04/15/2018","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B06XP237LY?th=1&psc=1"
"B0872R3DCS","30 Days of Yoga for Beginners | Calm Mind & Body | Eliz Fitness","","","","","","11/23/2020","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B0872R3DCS?th=1&psc=1"
"B079PXZBKZ","15-Minute Yoga Stretch 1.0 Workout","","","","","","07/30/2020","",NA,"1","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B079PXZBKZ?th=1&psc=1"
"B0B2BWC8GM","G4Free Wide Leg Pants for Women Loose Yoga Pants with Pockets Petite/Regular/Tall Stretch Casual Lounge Pants","G4Free","$35.99","10,598","354","$381,422","09/19/2023","$23.55",4.4,"4,076","$12.44","1,586",8,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","10.984 x 14.37 x 1.614 in","0.838 lb","https://www.amazon.com/dp/B0B2BWC8GM?th=1&psc=1"
"B078KFF7ND","ProBody Pilates Fitness Ring  14 Inch Pilates Ring for Focusing on Toning Inner Thighs, Arms, and Core","probody pilates","$24.95","6,363","191","$158,757","09/05/2016","$9.47",4.5,"9,146","$15.48","752",7,"FBA",1,"Sports & Outdoors","Large bulky","15 x 15 x 2 in","0.36 kg","https://www.amazon.com/dp/B078KFF7ND?th=1&psc=1"
"B0CD1S3FQ5","Meditation System for Meditation,Mindfulness,Sound Bath,Chakra Healing, Stress Relief,Sound Therapy,Yoga Practice,Relaxation","rylaxtones","$133.99","201","7","$26,932","07/28/2023","$107.38",4.5,"122","$26.61","86,874",7,"FBA",1,"Health & Household","Large standard","3.03 x 3.03 x 1.77 in","1.59 lb","https://www.amazon.com/dp/B0CD1S3FQ5?th=1&psc=1"
"B0DYC4YC43","Yoga Blocks 2 Pcs, 9'x6'x3' Yoga Brick Foam Blocks EVA Foam Block Yoga Props Accessories for Yoga Pilates Stretching and Meditation","POUYRBA","$11.99","496","14","$5,947","02/24/2025","$3.15",NA,"","$8.84","19,934",8,"FBA",1,"Sports & Outdoors","Large standard","5.98 x 9.41 x 5.87 in","0.529 lb","https://www.amazon.com/dp/B0DYC4YC43?th=1&psc=1"
"B074VB59RW","Cosmic Kids Yoga Adventures","","","","","","12/19/2017","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B074VB59RW?th=1&psc=1"
"B00V31TF2Y","Shandali GoSweat Non-Slip Hot Yoga Towel with Super-Absorbent Soft Suede Microfiber in Many Colors, for Bikram Pilates and Yoga Mats.","Shandali","$15.95","6,018","238","$95,987","07/04/2013","$8.92",4.3,"6,664","$7.03","524",7,"FBA",1,"Sports & Outdoors","Small standard","4.45 x 9.17 x 3.15 in","0.9 lb","https://www.amazon.com/dp/B00V31TF2Y?th=1&psc=1"
"B0D1MXGPFZ","AURUZA Pilates Grip Socks for Women Non Slip Skid Yoga Socks with Grips Straps for Ballet Dance Workout Gripper Socks","AURUZA","$9.99","4,467","141","$44,625","08/17/2024","$5.03",4.5,"514","$4.96","6,934",7,"FBA",1,"Clothing, Shoes & Jewelry","Small standard","8.346 x 9.843 x 0.748 in","0.331 lb","https://www.amazon.com/dp/B0D1MXGPFZ?th=1&psc=1"
"B0BWPC9KZD","Nurse Jamie SUPER-CRYO MASSAGING ORB - LARGE","Nurse Jamie","$24.50","103","2","$2,524","04/19/2023","$15.29",4.8,"8","$9.21","156,066",4,"AMZ",1,"Health & Household","Large standard","4.06 x 3.98 x 3.19 in","12.95 oz","https://www.amazon.com/dp/B0BWPC9KZD?th=1&psc=1"
"B01CI6SO1A","Liforme Travel Yoga mat  Patented Alignment System, Warrior-Like Grip, Non-Slip, Eco-Friendly, Ultra-Lightweight and Sweat Resistant, Made with Natural Rubber","LIFORME","$124.95","175","7","$21,866","10/04/2016","$98.06",4.3,"805","$26.89","40,372",7,"FBA",1,"Sports & Outdoors","Large standard","4.724 x 27.559 x 4.724 in","1.6 kg","https://www.amazon.com/dp/B01CI6SO1A?th=1&psc=1"
"B07CLDNX8M","Couch To Confident 14 Day Yoga Challenge with Julia Marie","","","","","","02/27/2020","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B07CLDNX8M?th=1&psc=1"
"B0DNDGHQBN","Namaste Yoga","","","","","","09/29/2019","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B0DNDGHQBN?th=1&psc=1"
